     1	Мальчик и девочка играют.	A boy and a girl are playing.
     2	Мы стояли и ждали.	We were standing and waiting.
     3	Слушали все: и мужчины, и женщины, и дети.	Everybody was listening--men, women and children.
     4	Давай говорить прямо.	Let's talk frankly.
     5	Что бы ты выбрал? Я бы выбрал и то, и другое.	What would you choose? I would choose both this and that.
     6	Она и нам рассказала.	She told us too.
     7	Ма́ша идёт в шко́лу.	Masha is going to school.
     8	У А́нны день рожде́ния в ма́рте.	Anna's birthday is in March.
     9	Ви́ктор пригласи́л меня́ в Эрмита́ж в пя́тницу.	Victor invited me to the Hermitage on Friday.
    10	В четве́рг в четы́ре ча́са дня у меня́ делова́я встре́ча в о́фисе.	On Thursday at 4 p.m I have a business meeting at the office.
    11	Я люблю́ у́жинать в э́том рестора́не.	I like to dine at this restaurant.
    12	В до́ме мое́й ба́бушки больша́я колле́кция карти́н.	In my grandmother's house there is a large collection of paintings.
    13	Я не знаю.	I don't know.
    14	Это не правда.	That's not true.
    15	Мне от этого не легче.	That doesn’t make it any easier for me.
    16	Чемодан не тяжелый, а лёгкий.	The suitcase is not heavy but light.
    17	Хочешь не хочешь.   Whether you like it or not.
    18	Это не шутка.	This is not a joke.
    19	У него не было времени.	He didn't have time.
    20	Вас совсем не узнать!	One would barely recognize you!
    21	Он не мог не улыбнуться.	He couldn't help smiling.
    22	Он лю́бит её, а она́ лю́бит его́.	He loves her, and she loves him.
    23	Скажи́те ему́, что́бы он вошёл.	Tell him to come in.
    24	Он о́чень изве́стный челове́к.	He is a very famous person.
    25	Он лю́бит игра́ть со мной.	He likes to play with me.
    26	Он откры́л дверь.	He opened the door.
    27	Он си́льный и сме́лый.	He is strong and courageous.
    28	Он мой лу́чший друг.	He is my best friend.
    29	Мне о́чень понра́вился его́ презента́ция. 	I really liked his presentation.
    30	Я написа́ла ему́ письмо́.	I wrote him a letter. (said by a female)
    
